,Time,Tibialis antelior,Gastrocnemius medialis
217,0.377,-0.006,0.0
218,0.378,-0.02,-0.011
219,0.379,-0.052,-0.031
220,0.38,-0.042,-0.021
221,0.381,0.005,0.007
222,0.382,0.022,0.015
223,0.383,0.018,0.011
224,0.384,0.019,0.014
225,0.385,0.02,0.011
226,0.386,0.021,0.011
227,0.387,0.021,0.009
228,0.388,0.016,0.006
229,0.389,0.018,0.006
230,0.39,0.013,0.003
231,0.391,0.016,0.003
232,0.392,0.004,0.0
233,0.393,0.0,-0.001
234,0.394,-0.002,-0.005
235,0.395,-0.005,-0.002
236,0.396,-0.003,0.001
237,0.397,-0.004,0.0
238,0.398,-0.015,-0.008
239,0.399,-0.048,-0.029
240,0.4,-0.036,-0.019
241,0.401,0.011,0.006
242,0.402,0.025,0.016
243,0.403,0.018,0.011
244,0.404,0.016,0.009
245,0.405,0.011,0.007
246,0.406,0.007,0.006
247,0.407,0.01,0.011
248,0.408,0.013,0.009
249,0.409,0.015,0.008
250,0.41,0.017,0.008
251,0.411,0.019,0.01
252,0.412,0.013,0.005
253,0.413,0.011,0.005
254,0.414,0.001,-0.001
255,0.415,0.004,0.001
256,0.416,-0.003,-0.001
257,0.417,-0.005,-0.001
258,0.418,-0.019,-0.012
259,0.419,-0.055,-0.035
260,0.42,-0.044,-0.026
261,0.421,0.003,0.003
262,0.422,0.023,0.013
263,0.423,0.017,0.007
264,0.424,0.018,0.01
265,0.425,0.015,0.009
266,0.426,0.008,0.007
267,0.427,0.011,0.008
268,0.428,0.011,0.008
269,0.429,0.01,0.009
270,0.43,0.012,0.01
271,0.431,0.012,0.01
272,0.432,0.011,0.007
273,0.433,0.011,0.006
274,0.434,0.002,-0.003
275,0.435,0.007,-0.001
276,0.436,0.007,0.0
277,0.437,0.004,-0.002
278,0.438,-0.012,-0.012
279,0.439,-0.051,-0.034
280,0.44,-0.041,-0.025
281,0.441,0.003,0.003
282,0.442,0.019,0.009
283,0.443,0.009,0.005
284,0.444,0.014,0.007
285,0.445,0.014,0.006
286,0.446,0.011,0.008
287,0.447,0.018,0.01
288,0.448,0.022,0.014
289,0.449,0.025,0.015
290,0.45,0.016,0.01
291,0.451,0.016,0.01
292,0.452,0.006,0.007
293,0.453,0.009,0.003
294,0.454,-0.002,-0.004
295,0.455,-0.002,-0.003
296,0.456,-0.006,-0.004
297,0.457,-0.001,-0.002
298,0.458,-0.015,-0.012
299,0.459,-0.054,-0.038
300,0.46,-0.04,-0.027
301,1.32,-0.063,-0.039
302,1.321,0.009,0.012
303,1.322,0.023,0.021
304,1.323,0.016,0.013
305,1.324,0.026,0.019
306,1.325,0.019,0.012
307,1.326,0.023,0.012
308,1.327,0.026,0.01
309,1.328,0.027,0.006
310,1.329,0.027,0.009
311,1.33,0.023,0.01
312,1.331,0.021,0.01
313,1.332,0.011,0.006
314,1.333,0.009,0.003
315,1.334,0.0,-0.002
316,1.335,0.004,0.002
317,1.336,-0.003,0.0
318,1.337,-0.01,-0.001
319,1.338,-0.04,-0.031
320,1.339,-0.096,-0.066
321,1.34,-0.059,-0.037
322,1.341,0.012,0.009
323,1.342,0.029,0.02
324,1.343,0.018,0.013
325,1.344,0.028,0.018
326,1.345,0.025,0.011
327,1.346,0.022,0.01
328,1.347,0.026,0.011
329,1.348,0.026,0.009
330,1.349,0.028,0.01
331,1.35,0.019,0.006
332,1.351,0.023,0.008
333,1.352,0.014,0.003
334,1.353,0.006,0.003
335,1.354,-0.001,-0.003
336,1.355,0.002,0.0
337,1.356,-0.004,-0.002
338,1.357,-0.008,-0.003
339,1.358,-0.042,-0.029
340,1.359,-0.094,-0.064
341,1.36,-0.058,-0.034
342,1.361,0.019,0.014
343,1.362,0.036,0.024
344,1.363,0.022,0.014
345,1.364,0.023,0.019
346,1.365,0.015,0.014
347,1.366,0.013,0.014
348,1.367,0.016,0.013
349,1.368,0.012,0.011
350,1.369,0.016,0.011
351,1.37,0.01,0.008
352,1.371,0.021,0.009
353,1.372,0.015,0.003
354,1.373,0.013,0.001
355,1.374,0.009,-0.003
356,1.375,0.011,0.001
357,1.376,0.004,-0.001
358,1.377,0.002,0.0
359,1.378,-0.035,-0.027
360,1.379,-0.093,-0.063
361,1.38,-0.058,-0.035
362,1.381,0.01,0.012
363,1.382,0.028,0.023
364,1.383,0.012,0.013
365,1.384,0.017,0.017
366,1.385,0.011,0.011
367,1.386,0.016,0.009
368,1.387,0.023,0.009
369,1.388,0.026,0.008
370,1.389,0.03,0.011
371,1.39,0.024,0.006
372,1.391,0.035,0.008
373,1.392,0.028,0.003
374,1.393,0.023,0.002
375,1.394,0.014,-0.002
376,1.395,0.011,0.0
377,1.396,0.002,-0.001
378,1.397,-0.01,-0.002
379,1.398,-0.056,-0.027
380,1.399,-0.109,-0.064
381,1.4,-0.07,-0.035
382,1.401,-0.002,0.013
383,1.402,0.017,0.018
384,1.403,0.007,0.011
385,1.404,0.02,0.014
386,1.405,0.013,0.008
387,1.406,0.017,0.01
388,1.407,0.019,0.009
389,1.408,0.018,0.007
390,1.409,0.02,0.007
391,1.41,0.019,0.006
392,1.411,0.02,0.008
393,1.412,0.009,0.004
394,1.413,0.006,0.003
395,1.414,-0.009,-0.001
396,1.415,-0.005,0.005
397,1.416,-0.008,0.001
398,1.417,-0.002,0.001
399,1.418,-0.037,-0.023
400,1.419,-0.091,-0.06
401,1.42,-0.053,-0.032
402,1.421,0.023,0.01
403,1.422,0.037,0.019
404,1.423,0.026,0.011
405,1.424,0.029,0.016
406,1.425,0.02,0.009
407,1.426,0.024,0.009
408,1.427,0.024,0.012
409,1.428,0.017,0.01
410,1.429,0.019,0.012
411,1.43,0.011,0.01
412,1.431,0.015,0.013
413,1.432,0.005,0.007
414,1.433,0.008,0.006
415,1.434,0.002,-0.004
416,1.435,0.01,0.0
417,1.436,0.013,-0.001
418,1.437,0.012,-0.006
419,1.438,-0.029,-0.032
420,1.439,-0.088,-0.066
421,1.44,-0.048,-0.038
422,1.441,0.023,0.006
423,1.442,0.037,0.018
424,1.443,0.022,0.01
425,1.444,0.031,0.016
426,1.445,0.024,0.012
427,1.446,0.024,0.012
428,1.447,0.019,0.012
429,1.448,0.016,0.011
430,1.449,0.018,0.013
431,1.45,0.012,0.007
432,1.451,0.015,0.006
433,1.452,0.011,0.0
434,1.453,0.012,0.001
435,1.454,0.007,-0.007
436,1.455,0.017,0.0
437,1.456,0.012,-0.001
438,1.457,0.012,-0.002
439,1.458,-0.026,-0.03
440,1.459,-0.086,-0.065
441,1.46,-0.047,-0.034
442,1.461,0.028,0.01
443,1.462,0.039,0.022
444,1.463,0.019,0.016
445,1.464,0.022,0.018
446,1.465,0.015,0.014
447,1.466,0.016,0.016
448,1.467,0.02,0.017
449,1.468,0.014,0.015
450,1.469,0.017,0.011
451,1.47,0.013,0.004
452,1.471,0.018,0.007
453,1.472,0.011,0.0
454,1.473,0.008,-0.004
455,1.474,0.0,-0.01
456,1.475,0.001,-0.001
457,1.476,0.002,-0.002
458,1.477,-0.001,-0.004
459,1.478,-0.041,-0.03
460,1.479,-0.105,-0.063
